Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
22/02/2008,2.7595,2.774,2.721,2.763,0.0249,,320,1534,0,0,0
21/02/2008,2.742,2.7689,2.6948,2.7381,-0.0165,,392,1557,0,0,175
20/02/2008,2.739,2.7675,2.7165,2.7546,-0.0068,,285,1820,0,0,0
19/02/2008,2.6725,2.7618,2.6725,2.7614,0.0983,,788,1538,0,0,0
18/02/2008,2.6669,2.6669,2.6608,2.6631,0.0162,,19,1530,0,0,0
15/02/2008,2.6679,2.6827,2.6301,2.6469,-0.0197,,236,1437,0,0,0
14/02/2008,2.6303,2.6679,2.6292,2.6666,0.051,,175,1603,0,0,0
13/02/2008,2.5996,2.6235,2.5835,2.6156,0.0245,,695,1319,0,0,0
12/02/2008,2.5839,2.6292,2.5835,2.5911,-0.0133,,322,1296,0,0,0
11/02/2008,2.5471,2.6456,2.5471,2.6044,0.0503,,860,1542,0,0,0
08/02/2008,2.4824,2.5699,2.4824,2.5541,0.0956,,271,1565,0,0,0
07/02/2008,2.422,2.4596,2.4101,2.4585,0.0397,,377,1769,0,0,0
06/02/2008,2.4297,2.4635,2.413,2.4188,-0.0277,,693,1249,0,0,0
05/02/2008,2.4635,2.4635,2.428,2.4465,-0.0368,,242,1201,0,0,0
04/02/2008,2.4425,2.501,2.4425,2.4833,0.0344,,169,1261,0,0,0
01/02/2008,2.5316,2.5316,2.4423,2.4489,-0.0802,,516,1561,0,0,0
31/01/2008,2.5193,2.5396,2.4713,2.5291,-0.0133,,467,1334,0,0,0
30/01/2008,2.5508,2.561,2.5414,2.5493,0.0075,,135,1912,0,0,0
29/01/2008,2.5361,2.5427,2.5138,2.5418,0.0153,,136,1776,0,0,150
28/01/2008,2.4892,2.5316,2.4708,2.5265,0.0074,,485,2133,0,0,0
25/01/2008,2.5118,2.5303,2.493,2.5191,0.0428,,143,2100,0,0,0
24/01/2008,2.456,2.4807,2.4373,2.4763,0.0532,,337,1986,0,0,0
23/01/2008,2.4371,2.4628,2.4224,2.4231,-0.0495,,212,1781,0,0,100
22/01/2008,2.4655,2.4831,2.4213,2.4726,0.0046,,257,1537,0,0,100
21/01/2008,2.5186,2.5186,2.4724,2.468,-0.0394,,27,1537,0,0,0
18/01/2008,2.5207,2.5272,2.4912,2.5074,0.0039,,467,1774,0,0,100
17/01/2008,2.5265,2.5566,2.49,2.5035,-0.0149,,223,1766,0,0,0
16/01/2008,2.5279,2.529,2.4782,2.5184,-0.0288,,212,1676,0,0,0
15/01/2008,2.601,2.6022,2.5251,2.5472,-0.042,,378,1685,0,0,0
14/01/2008,2.5803,2.5904,2.5681,2.5892,0.0533,,138,1669,0,0,0
11/01/2008,2.578,2.578,2.5307,2.5359,-0.0214,,363,1503,0,0,0
10/01/2008,2.597,2.597,2.546,2.5573,-0.0561,,369,2033,0,0,0
09/01/2008,2.6437,2.6682,2.6062,2.6134,-0.0229,,357,1960,0,0,0
08/01/2008,2.6317,2.6626,2.6303,2.6363,0.0428,,256,1942,0,0,0
07/01/2008,2.6883,2.6891,2.5757,2.5935,-0.09,,653,1456,0,0,0
